gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
C1QB,1490.9156082066775,-2.144841545198043,0.5215868003595414,-4.112146901952955,3.9199672910585504e-05,0.002425162497802734
CPA4,9383.151433872154,2.5852071944933477,0.42284958851460125,6.113774885236951,9.730153933098488e-10,5.398352177269706e-07
AFF2,30.04281741071181,4.1983750634475605,0.8700545183504101,4.825416080141182,1.3971128445465924e-06,0.0001753937504624587
PTPRR,31.113536303574485,-2.8862501553466746,0.8827360224828196,-3.269663955968047,0.0010767531682534775,0.025937083670576417
KLRD1,96.15502483292966,-2.4264654814948283,0.8010719317604351,-3.029023219128936,0.0024534582569253342,0.04571725737904531
CERS3,389.0821286084553,3.908459310955078,0.8627736777595871,4.530109589231319,5.8953099003879115e-06,0.0005563940565805829
ANXA8,179.71209704849218,2.6217340039910324,0.6841245538471399,3.832246612474064,0.00012697835644157057,0.005854961802784376
A2ML1,1664.15571717238,2.091621783080297,0.5882047489181408,3.555941680048189,0.0003766276257885989,0.012385503892807096
FAM126A,735.7652890512533,2.6199371665603612,0.46730173741084063,5.606521347591255,2.064335243679196e-08,6.121465837248016e-06
ENDOU,60.26733046606485,3.1779001500185693,0.7551231723205761,4.208452695541754,2.571253425115122e-05,0.0017548804626410707
INKA1,108.86826302328458,2.464318789674566,0.42555305819746386,5.79086142656994,7.00263353123164e-09,2.6022633684904708e-06
IFITM1,12684.7105046239,-2.8704682660936514,0.5680666142069231,-5.053048699404925,4.348129724445901e-07,7.478348313074505e-05
RAET1G,260.87208273594814,2.258322731881496,0.4417143835589674,5.112631184173376,3.1770220881455305e-07,6.0045717465950534e-05
C3,27225.482306700058,-3.2871539960495593,0.5450065604943953,-6.031402618470614,1.6254266210341822e-09,7.168131398760743e-07
KLK6,1220.6917253689048,4.390294445193087,0.7864614106002175,5.582339306187279,2.3730483547351274e-08,6.802343108848243e-06
CALCRL,127.86094238878279,-2.6295516985104554,0.7725895519826963,-3.403555861922075,0.000665148107629737,0.018511136412821757
RPE65,14.226552404286513,6.594749665911365,1.5723437839715642,4.1942161333533345,2.7381680999385932e-05,0.0018540847697182624
EREG,233.75123285351913,3.18424002320291,0.6621680915857825,4.808809218784893,1.5183202473363447e-06,0.00018922891256476662
IFI44,2961.2100848202676,-2.3178809450726447,0.4980965445738219,-4.6534772632399095,3.2638360793091222e-06,0.00035754596642062166
KLK14,36.87991776929772,3.2641317860119416,1.0896267946925497,2.9956419958752503,0.0027386775828090694,0.04911628336468528
CLCA3P,68.0238930890257,3.3739914389868515,0.8564417584107127,3.9395456910554216,8.163605387453263e-05,0.004203767935892475
CEMIP,339.09962002016505,3.181080901224967,0.5828541983931641,5.457764411742591,4.821668160452239e-08,1.3375463014777104e-05
TMPRSS11A,2472.993015613986,3.9523645408748083,0.6870412391693048,5.752732609840969,8.78123192377863e-09,2.9613413305307586e-06
BCL2L14,415.6345745593578,-2.5235724876127197,0.5112511591037304,-4.936071914314622,7.971172485448606e-07,0.00011424682964769214
LIPK,14.690053378412287,4.031596418434079,0.9434219893577052,4.273375503128611,1.925358064470069e-05,0.0014151381773855008
KRT3,6.178363128058729,4.0251000036059414,1.0981973846406958,3.665188116362942,0.0002471568447375645,0.009352040366793974
EPSTI1,2228.026804015175,-2.4545517296043524,0.5623225676649262,-4.365024401914023,1.2710856845519206e-05,0.0010510289754138693
GPX8,330.2505281686715,-2.1288772663320783,0.45509482153131253,-4.677876270199665,2.898613534274447e-06,0.00032163389790958847
